2022-12-06 02:43:13 - Task preparing to start
Dec  6 06:30:48 2022-12-06 13:42:20.185638+09:00 #011 [0.041742116095093595, 0.05111947331029687]
Dec  6 06:30:48 2022-12-06 13:43:25.255037+09:00 #011 [0.04378096265659348, 0.052725024116878405]
Dec  6 06:30:48 2022-12-06 13:44:30.371115+09:00 #011 [0.04276153937584337, 0.05111947331029687]
Dec  6 06:30:48 2022-12-06 13:45:34.923141+09:00 #011 [0.04276153937584337, 0.05111947331029687]
Dec  6 06:30:48 2022-12-06 13:46:40.244286+09:00 #011 [0.04378096265659348, 0.052725024116878405]
Dec  6 06:30:48 2022-12-06 13:47:45.019034+09:00 #011 [0.04378096265659348, 0.052725024116878405]
Dec  6 06:30:48 2022-12-06 13:48:49.827052+09:00 #011 [0.04254553754374657, 0.04989352947736436]
Dec  6 06:30:48 2022-12-06 13:49:54.612265+09:00 #011 [0.03970326953359371, 0.049513922503715335]
Dec  6 06:30:48 2022-12-06 13:50:59.444496+09:00 #011 [0.03992265572932219, 0.05073877569636498]
Dec  6 06:30:48 2022-12-06 13:52:04.811048+09:00 #011 [0.03992265572932219, 0.05073877569636498]
Dec  6 06:30:48 2022-12-06 13:53:09.447052+09:00 #011 [0.03868384625284382, 0.049513922503715335]
Dec  6 06:30:48 2022-12-06 13:54:14.103031+09:00 #011 [0.038904546138367135, 0.049135293898554866]
Dec  6 06:30:48 2022-12-06 13:55:19.299037+09:00 #011 [0.0368683269564567, 0.04753181210074464]
Dec  6 06:30:48 2022-12-06 13:56:23.899033+09:00 #011 [0.035850217365501535, 0.04592833030293442]
Dec  6 06:30:48 2022-12-06 13:57:28.507051+09:00 #011 [0.035850217365501535, 0.04592833030293442]
Dec  6 06:30:48 2022-12-06 13:58:33.464375+09:00 #011 [0.035850217365501535, 0.04592833030293442]
Dec  6 06:30:48 2022-12-06 13:59:38.327602+09:00 #011 [0.03381399818359132, 0.04592833030293442]
Dec  6 06:30:48 2022-12-06 14:00:43.114888+09:00 #011 [0.036074280094013034, 0.04555480365505338]
Dec  6 06:30:48 2022-12-06 14:01:48.183021+09:00 #011 [0.04079457522516583, 0.05241626434638191]
Dec  6 06:30:48 2022-12-06 14:02:53.211040+09:00 #011 [0.042022751185184726, 0.05362955978255812]
Dec  6 06:30:48 2022-12-06 14:03:57.823068+09:00 #011 [0.039781686709036146, 0.05082100553215019]
Dec  6 06:30:48 2022-12-06 14:05:07.262934+09:00 #011 [0.04223748802180072, 0.05006621555610713]
Dec  6 06:30:48 2022-12-06 14:06:12.067042+09:00 #011 [0.04122719001338493, 0.05006621555610713]
Dec  6 06:30:48 2022-12-06 14:07:17.067053+09:00 #011 [0.04144266864353219, 0.05127941323738927]
Dec  6 06:30:48 2022-12-06 14:08:21.631066+09:00 #011 [0.04043366092631495, 0.049690266525894145]
Dec  6 06:30:48 2022-12-06 14:09:26.203029+09:00 #011 [0.03819629598813734, 0.05006621555610713]
Dec  6 06:30:48 2022-12-06 14:10:30.915031+09:00 #011 [0.03819629598813734, 0.04847503668769182]
Dec  6 06:30:48 2022-12-06 14:11:36.162033+09:00 #011 [0.03718599797972155, 0.04688385781927662]
Dec  6 06:30:48 2022-12-06 14:12:41.465192+09:00 #011 [0.04064987686571875, 0.049315276549329545]
Dec  6 06:30:48 2022-12-06 14:13:46.261377+09:00 #011 [0.039424653209097604, 0.04810111981439891]
Dec  6 06:30:48 2022-12-06 14:14:50.809598+09:00 #011 [0.03841564549188037, 0.04810111981439891]
Dec  6 06:30:48 2022-12-06 14:15:55.543022+09:00 #011 [0.03841564549188037, 0.04810111981439891]
Dec  6 06:30:48 2022-12-06 14:17:00.307042+09:00 #011 [0.036175699971305764, 0.04529267895086142]
Dec  6 06:30:48 2022-12-06 14:18:05.283033+09:00 #011 [0.035388622340228326, 0.04651197310290378]
Dec  6 06:30:48 2022-12-06 14:19:10.219543+09:00 #011 [0.035388622340228326, 0.04651197310290378]
Dec  6 06:30:48 2022-12-06 14:20:14.796301+09:00 #011 [0.035388622340228326, 0.044922826391408655]
Dec  6 06:30:48 2022-12-06 14:21:19.659026+09:00 #011 [0.03639763005744556, 0.043333679679913306]
Dec  6 06:30:48 2022-12-06 14:22:24.115031+09:00 #011 [0.031906835147013535, 0.04088382994797979]
Dec  6 06:30:48 2022-12-06 14:23:29.080656+09:00 #011 [0.034155103954474186, 0.04211032121403102]
Dec  6 06:30:48 2022-12-06 14:24:33.991057+09:00 #011 [0.035388622340228326, 0.043333679679913306]
Dec  6 06:30:48 2022-12-06 14:25:38.635053+09:00 #011 [0.03213450793764239, 0.04370150008244611]
Dec  6 06:30:48 2022-12-06 14:26:43.519281+09:00 #011 [0.03337060690579352, 0.04651197310290378]
Dec  6 06:30:48 2022-12-06 14:27:48.019050+09:00 #011 [0.03314480594605829, 0.04370150008244611]
Dec  6 06:30:48 2022-12-06 14:28:53.151054+09:00 #011 [0.03696479316609924, 0.045663478635946664]
Dec  6 06:30:48 2022-12-06 14:29:58.099028+09:00 #011 [0.03674302116064687, 0.044439970275223506]
Dec  6 06:30:48 2022-12-06 14:31:02.803060+09:00 #011 [0.03674302116064687, 0.04763048790368685]
Dec  6 06:30:48 2022-12-06 14:32:07.331049+09:00 #011 [0.03573013264451719, 0.04763048790368685]
Dec  6 06:30:48 2022-12-06 14:33:12.065460+09:00 #011 [0.033251289797844974, 0.04518223722991732]
Dec  6 06:30:48 2022-12-06 14:34:17.239028+09:00 #011 [0.033251289797844974, 0.04518223722991732]
Dec  6 06:30:48 2022-12-06 14:35:22.159044+09:00 #011 [0.033251289797844974, 0.043582877493284156]
Dec  6 06:30:48 2022-12-06 14:36:26.967039+09:00 #011 [0.033023882246209224, 0.042351967425707904]
Dec  6 06:30:48 2022-12-06 14:37:32.059030+09:00 #011 [0.036520679779057486, 0.04800524061614442]
Dec  6 06:30:48 2022-12-06 14:38:36.847034+09:00 #011 [0.03426678214049439, 0.04518223722991732]
Dec  6 06:30:48 2022-12-06 14:39:41.515051+09:00 #011 [0.03934424385374102, 0.04678159696655071]
Dec  6 06:30:48 2022-12-06 14:40:46.563035+09:00 #011 [0.036074280094013034, 0.04555480365505338]
Dec  6 06:30:48 2022-12-06 14:41:51.283032+09:00 #011 [0.036297766825793, 0.048380956703183986]
Dec  6 06:30:48 2022-12-06 14:42:55.835076+09:00 #011 [0.0350574808114118, 0.047156221769726114]
Dec  6 06:30:48 2022-12-06 14:44:00.883045+09:00 #011 [0.03381399818359132, 0.04592833030293442]
Dec  6 06:30:48 2022-12-06 14:45:15.787038+09:00 #011 [0.035282274483143694, 0.04678159696655071]
Dec  6 06:30:48 2022-12-06 14:46:20.443020+09:00 #011 [0.036520679779057486, 0.04640793397288279]
Dec  6 06:30:48 2022-12-06 14:47:25.123875+09:00 #011 [0.033251289797844974, 0.04518223722991732]
Dec  6 06:30:48 2022-12-06 14:48:30.119050+09:00 #011 [0.033478113504675444, 0.044810627329621266]
Dec  6 06:30:48 2022-12-06 14:49:35.027033+09:00 #011 [0.03696479316609924, 0.04884991109459125]
Dec  6 06:30:48 2022-12-06 14:50:39.642523+09:00 #011 [0.03797638476991627, 0.04884991109459125]
Dec  6 06:30:48 2022-12-06 14:51:44.351070+09:00 #011 [0.03573013264451719, 0.04603522908945523]
Dec  6 06:30:48 2022-12-06 14:52:49.246803+09:00 #011 [0.03674302116064687, 0.04763048790368685]
Dec  6 06:30:48 2022-12-06 14:53:54.247022+09:00 #011 [0.03674302116064687, 0.04763048790368685]
Dec  6 06:30:48 2022-12-06 14:54:58.787050+09:00 #011 [0.03920659399655313, 0.05006621555610713]
Dec  6 06:30:48 2022-12-06 14:56:03.471180+09:00 #011 [0.03718599797972155, 0.04847503668769182]
Dec  6 06:30:48 2022-12-06 14:57:08.135045+09:00 #011 [0.04021689200496903, 0.05006621555610713]
Dec  6 06:30:48 2022-12-06 14:58:13.215060+09:00 #011 [0.03920659399655313, 0.05006621555610713]
Dec  6 06:30:48 2022-12-06 14:59:18.175035+09:00 #011 [0.03920659399655313, 0.05006621555610713]
Dec  6 06:30:48 2022-12-06 15:00:23.031319+09:00 #011 [0.04223748802180072, 0.04847503668769182]
Dec  6 06:30:48 2022-12-06 15:01:27.619041+09:00 #011 [0.042022751185184726, 0.05044312732391343]
Dec  6 06:30:48 2022-12-06 15:02:32.472764+09:00 #011 [0.04079457522516583, 0.04922574671791857]
Dec  6 06:30:48 2022-12-06 15:03:37.755046+09:00 #011 [0.044258084038632295, 0.05324857329293753]
Dec  6 06:30:48 2022-12-06 15:04:42.327035+09:00 #011 [0.043247786030216506, 0.05483975216135284]
Dec  6 06:30:48 2022-12-06 15:05:47.320117+09:00 #011 [0.039999567977550554, 0.05203634355323594]
Dec  6 06:30:48 2022-12-06 15:06:52.079027+09:00 #011 [0.04547869951240169, 0.05604685337187465]
Dec  6 06:30:48 2022-12-06 15:07:56.931033+09:00 #011 [0.04446969179518423, 0.05445770666037952]
Dec  6 06:30:48 2022-12-06 15:09:01.656589+09:00 #011 [0.04669620117118678, 0.055663755503924994]
Dec  6 06:30:48 2022-12-06 15:10:06.394251+09:00 #011 [0.047910600914917834, 0.056866731611563304]
Dec  6 06:30:48 2022-12-06 15:11:11.075134+09:00 #011 [0.05314253675386149, 0.059649727977325595]
Dec  6 06:30:48 2022-12-06 15:12:15.819056+09:00 #011 [0.05414769329658575, 0.058066646711294134]
Dec  6 06:30:48 2022-12-06 15:13:20.511032+09:00 #011 [0.055545728284943086, 0.06045734050136686]
Dec  6 06:30:48 2022-12-06 15:14:25.115033+09:00 #011 [0.05314253675386149, 0.058066646711294134]
Dec  6 06:30:48 2022-12-06 15:15:29.691042+09:00 #011 [0.05213738021113734, 0.05490048417923121]
Dec  6 06:30:48 2022-12-06 15:16:34.266242+09:00 #011 [0.05414769329658575, 0.05648356544526267]
Dec  6 06:30:48 2022-12-06 15:17:39.156917+09:00 #011 [0.05434565932469526, 0.05610137301763107]
Dec  6 06:30:48 2022-12-06 15:18:43.939034+09:00 #011 [0.05193634890259258, 0.05369653575143396]
Dec  6 06:30:48 2022-12-06 15:19:48.763641+09:00 #011 [0.05173480475907699, 0.052489516026627214]
Dec  6 06:30:48 2022-12-06 15:20:54.271044+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  6 06:30:48 2022-12-06 15:21:59.051056+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  6 06:30:48 2022-12-06 15:23:03.827195+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  6 06:30:48 2022-12-06 15:24:08.687022+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  6 06:30:48 2022-12-06 15:25:13.759811+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  6 06:30:48 2022-12-06 15:26:23.363036+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  6 06:30:48 2022-12-06 15:27:28.575364+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  6 06:30:48 2022-12-06 15:28:33.343419+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  6 06:30:48 2022-12-06 15:29:38.314124+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  7 01:25:10 2022-12-06 15:30:43.609575+09:00 #011 [0.05052373809848831, 0.0528685599488844]
Dec  7 01:25:10 2022-12-06 15:31:48.695026+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:32:53.837820+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:33:59.079075+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:35:04.008354+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:36:09.295026+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:37:14.197412+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:38:19.159613+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:39:23.719049+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:40:28.740160+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:41:33.539032+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:42:38.355127+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:43:43.355016+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:44:48.427079+09:00 #011 [0.05534953866723802, 0.05926351247150852]
Dec  7 01:25:10 2022-12-06 15:45:53.475067+09:00 #011 [0.05534953866723802, 0.05926351247150852]
